x-position,y-position,x-target,y-target
353.996,125.986,354,126.2
353.996,125.986,354,126.2
353.996,125.986,354,126.2
353.996,125.986,354,126.2
353.996,125.986,354,126.2
353.996,125.986,354,126.2
353.996,125.986,354,126.2
353.996,125.986,354,126.2
353.996,125.986,353.999,126.2
353.996,125.986,353.999,126.2
353.996,125.986,353.999,126.2
353.996,125.986,353.999,126.2
353.996,125.986,353.998,126.2
353.996,125.986,353.998,126.2
353.996,125.986,353.997,126.2
353.996,125.986,353.997,126.2
353.996,125.986,353.996,126.2
353.996,125.986,353.995,126.2
353.996,125.986,353.994,126.2
353.996,125.986,353.993,126.2
353.996,125.986,353.992,126.2
353.996,125.986,353.991,126.2
353.996,125.986,353.99,126.2
353.996,125.986,353.988,126.2
353.996,125.986,353.987,126.2
353.996,125.986,353.985,126.2
353.996,125.986,353.983,126.2
353.996,125.986,353.981,126.2
353.996,125.986,353.979,126.2
353.996,125.986,353.977,126.2
353.996,125.986,353.974,126.2
353.996,125.986,353.972,126.2
353.996,125.986,353.969,126.2
353.996,125.986,353.966,126.2
353.996,125.986,353.963,126.2
353.996,125.986,353.959,126.2
353.996,125.986,353.956,126.2
353.996,125.986,353.952,126.2
353.996,125.986,353.948,126.2
353.996,125.986,353.944,126.2
353.996,125.986,353.94,126.2
353.996,125.986,353.935,126.2
353.996,125.986,353.931,126.2
353.996,125.986,353.926,126.2
353.996,125.986,353.92,126.2
353.996,125.986,353.915,126.2
353.996,125.986,353.909,126.2
353.996,125.986,353.903,126.2
353.996,125.986,353.897,126.2
353.996,125.986,353.891,126.2
353.996,125.986,353.884,126.2
353.996,125.986,353.877,126.2
353.996,125.986,353.87,126.2
353.996,125.986,353.863,126.2
353.996,125.986,353.855,126.2
353.996,125.986,353.847,126.2
353.996,125.986,353.839,126.2
353.996,125.986,353.83,126.2
353.996,125.986,353.821,126.2
353.996,125.986,353.812,126.2
353.996,125.986,353.803,126.2
353.996,125.986,353.793,126.2
353.996,125.986,353.783,126.2
353.996,125.986,353.773,126.2
353.996,125.986,353.762,126.2
353.996,125.986,353.751,126.2
353.996,125.986,353.74,126.2
353.996,125.986,353.729,126.2
353.996,125.986,353.717,126.2
353.996,125.986,353.705,126.2
353.996,125.986,353.692,126.2
353.996,125.986,353.679,126.2
353.996,125.986,353.666,126.2
353.996,125.986,353.652,126.2
353.996,125.986,353.638,126.2
353.996,125.986,353.624,126.2
353.996,125.986,353.61,126.2
353.996,125.986,353.595,126.2
353.996,125.986,353.579,126.2
