x-position,y-position,x-target,y-target
354.009,126.014,354,126.2
354.009,126.014,354,126.2
354.009,126.014,354,126.2
354.009,126.014,354,126.2
354.009,126.014,354,126.2
354.009,126.014,354,126.2
354.009,126.014,354,126.2
354.009,126.014,354,126.2
354.009,126.014,353.999,126.2
354.009,126.014,353.999,126.2
354.009,126.014,353.999,126.2
354.009,126.014,353.999,126.2
354.009,126.014,353.998,126.2
354.009,126.014,353.998,126.2
354.009,126.014,353.997,126.2
354.009,126.014,353.997,126.2
354.009,126.014,353.996,126.2
354.009,126.014,353.995,126.2
354.009,126.014,353.994,126.2
354.009,126.014,353.993,126.2
354.009,126.014,353.992,126.2
354.009,126.014,353.991,126.2
354.009,126.014,353.99,126.2
354.009,126.014,353.988,126.2
354.009,126.014,353.987,126.2
354.009,126.014,353.985,126.2
354.009,126.014,353.983,126.2
354.009,126.014,353.981,126.2
354.009,126.014,353.979,126.2
354.009,126.014,353.977,126.2
354.009,126.014,353.974,126.2
354.009,126.014,353.972,126.2
354.009,126.014,353.969,126.2
354.009,126.014,353.966,126.2
354.009,126.014,353.963,126.2
354.009,126.014,353.959,126.2
354.009,126.014,353.956,126.2
354.009,126.014,353.952,126.2
354.009,126.014,353.948,126.2
354.009,126.014,353.944,126.2
354.009,126.014,353.94,126.2
354.009,126.014,353.935,126.2
354.009,126.014,353.931,126.2
354.009,126.014,353.926,126.2
354.009,126.014,353.92,126.2
354.009,126.014,353.915,126.2
354.009,126.014,353.909,126.2
354.009,126.014,353.903,126.2
354.009,126.014,353.897,126.2
354.009,126.014,353.891,126.2
354.009,126.014,353.884,126.2
354.009,126.014,353.877,126.2
354.009,126.014,353.87,126.2
354.009,126.014,353.863,126.2
354.009,126.014,353.855,126.2
354.009,126.014,353.847,126.2
354.009,126.014,353.839,126.2
354.009,126.014,353.83,126.2
354.009,126.014,353.821,126.2
354.009,126.014,353.812,126.2
354.009,126.014,353.803,126.2
354.009,126.014,353.793,126.2
354.009,126.014,353.783,126.2
354.009,126.014,353.773,126.2
354.009,126.014,353.762,126.2
354.009,126.014,353.751,126.2
354.009,126.014,353.74,126.2
354.009,126.014,353.729,126.2
354.009,126.014,353.717,126.2
354.009,126.014,353.705,126.2
354.009,126.014,353.692,126.2
354.009,126.014,353.679,126.2
354.009,126.014,353.666,126.2
354.009,126.014,353.652,126.2
354.009,126.014,353.638,126.2
354.009,126.014,353.624,126.2
354.009,126.014,353.61,126.2
354.009,126.014,353.595,126.2
354.009,126.014,353.579,126.2
354.009,126.014,353.564,126.2
354.009,126.014,353.547,126.2
354.009,126.014,353.531,126.2
354.009,126.014,353.514,126.2
354.009,126.014,353.497,126.2
354.009,126.014,353.479,126.2
354.009,126.014,353.462,126.2
354.009,126.014,353.443,126.2
354.009,126.014,353.424,126.2
354.009,126.014,353.405,126.2
354.009,126.014,353.386,126.2
354.009,126.014,353.366,126.2
354.009,126.014,353.346,126.2
354.009,126.014,353.325,126.2
354.009,126.014,353.304,126.2
354.009,126.014,353.282,126.2
354.009,126.014,353.26,126.2
354.009,126.014,353.238,126.2
354.009,126.014,353.215,126.2
354.009,126.014,353.192,126.2
354.009,126.014,353.168,126.2
354.009,126.014,353.144,126.2
354.009,126.014,353.119,126.2
354.009,126.014,353.095,126.2
354.009,126.014,353.069,126.2
354.009,126.014,353.043,126.2
354.009,126.014,353.017,126.2
354.009,126.014,352.99,126.2
354.009,126.014,352.963,126.2
354.009,126.014,352.936,126.2
354.009,126.014,352.907,126.2
354.009,126.014,352.879,126.2
354.009,126.014,352.85,126.2
354.009,126.014,352.821,126.2
354.009,126.014,352.791,126.2
354.009,126.014,352.76,126.2
354.009,126.014,352.729,126.2
354.009,126.014,352.698,126.2
354.009,126.014,352.666,126.2
354.009,126.014,352.634,126.2
354.009,126.014,352.601,126.2
354.009,126.014,352.568,126.2
354.009,126.014,352.534,126.2
354.009,126.014,352.5,126.2
354.009,126.014,352.466,126.2
354.009,126.014,352.43,126.2
354.009,126.014,352.395,126.2
354.009,126.014,352.359,126.2
354.009,126.014,352.322,126.2
354.009,126.014,352.285,126.2
354.009,126.014,352.247,126.2
354.009,126.014,352.209,126.2
354.009,126.014,352.171,126.2
354.009,126.014,352.131,126.2
354.009,126.014,352.092,126.2
354.009,126.014,352.052,126.2
354.009,126.014,352.011,126.2
354.009,126.014,351.97,126.2
354.009,126.014,351.928,126.2
354.009,126.014,351.886,126.2
354.009,126.014,351.843,126.2
354.009,126.014,351.8,126.2
354.009,126.014,351.756,126.2
354.009,126.014,351.712,126.2
354.009,126.014,351.667,126.2
354.009,126.014,351.622,126.2
354.009,126.014,351.576,126.2
354.009,126.014,351.53,126.2
354.009,126.014,351.483,126.2
354.009,126.014,351.435,126.2
354.009,126.014,351.387,126.2
354.009,126.014,351.339,126.2
354.009,126.014,351.29,126.2
354.009,126.014,351.24,126.2
354.009,126.014,351.19,126.2
354.009,126.014,351.139,126.2
354.009,126.014,351.088,126.2
354.009,126.014,351.037,126.2
354.009,126.014,350.984,126.2
354.009,126.014,350.931,126.2
354.009,126.014,350.878,126.2
354.009,126.014,350.824,126.2
354.009,126.014,350.77,126.2
354.009,126.014,350.715,126.2
354.009,126.014,350.659,126.2
354.009,126.014,350.603,126.2
354.009,126.014,350.546,126.2
354.009,126.014,350.489,126.2
354.009,126.014,350.431,126.2
354.009,126.014,350.373,126.2
354.009,126.014,350.314,126.2
354.009,126.014,350.255,126.2
354.009,126.014,350.195,126.2
354.009,126.014,350.134,126.2
354.009,126.014,350.073,126.2
354.009,126.014,350.011,126.2
354.009,126.014,349.949,126.2
354.009,126.014,349.886,126.2
354.009,126.014,349.823,126.2
354.009,126.014,349.759,126.2
354.009,126.014,349.694,126.2
354.009,126.014,349.629,126.2
354.009,126.014,349.564,126.2
354.009,126.014,349.497,126.2
354.009,126.014,349.431,126.2
354.009,126.014,349.363,126.2
354.009,126.014,349.295,126.2
354.009,126.014,349.227,126.2
354.009,126.014,349.158,126.2
354.009,126.014,349.088,126.2
354.009,126.014,349.018,126.2
354.009,126.014,348.947,126.2
354.009,126.014,348.876,126.2
354.009,126.014,348.804,126.2
354.009,126.014,348.732,126.2
354.009,126.014,348.658,126.2
354.009,126.014,348.585,126.2
354.009,126.014,348.511,126.2
354.009,126.014,348.436,126.2
354.009,126.014,348.36,126.2
354.009,126.014,348.285,126.2
354.009,126.014,348.208,126.2
354.009,126.014,348.131,126.2
354.009,126.014,348.053,126.2
354.009,126.014,347.975,126.2
354.009,126.014,347.896,126.2
354.009,126.014,347.817,126.2
354.009,126.014,347.737,126.2
354.009,126.014,347.656,126.2
354.009,126.014,347.575,126.2
354.009,126.014,347.493,126.2
354.009,126.014,347.411,126.2
354.009,126.014,347.328,126.2
354.009,126.014,347.245,126.2
354.009,126.014,347.161,126.2
354.009,126.014,347.076,126.2
354.009,126.014,346.991,126.2
354.009,126.014,346.905,126.2
354.009,126.014,346.819,126.2
354.009,126.014,346.732,126.2
354.009,126.014,346.645,126.2
354.009,126.014,346.557,126.2
354.009,126.014,346.468,126.2
354.009,126.014,346.379,126.2
354.009,126.014,346.289,126.2
354.009,126.014,346.199,126.2
354.009,126.014,346.108,126.2
354.009,126.014,346.016,126.2
354.009,126.014,345.924,126.2
354.009,126.014,345.831,126.2
354.009,126.014,345.738,126.2
354.009,126.014,345.644,126.2
354.009,126.014,345.55,126.2
354.009,126.014,345.455,126.2
354.009,126.014,345.36,126.2
354.009,126.014,345.263,126.2
354.009,126.014,345.167,126.2
354.009,126.014,345.07,126.2
354.009,126.014,344.972,126.2
354.009,126.014,344.873,126.2
354.009,126.014,344.774,126.2
354.009,126.014,344.675,126.2
354.009,126.014,344.575,126.2
354.009,126.014,344.474,126.2
354.009,126.014,344.373,126.2
354.009,126.014,344.271,126.2
354.009,126.014,344.169,126.2
354.009,126.014,344.066,126.2
354.009,126.014,343.962,126.2
354.009,126.014,343.858,126.2
354.009,126.014,343.754,126.2
354.009,126.014,343.648,126.2
354.009,126.014,343.543,126.2
354.009,126.014,343.436,126.2
354.009,126.014,343.33,126.2
354.009,126.014,343.222,126.2
354.009,126.014,343.114,126.2
354.009,126.014,343.006,126.2
354.009,126.014,342.896,126.2
354.009,126.014,342.787,126.2
354.009,126.014,342.677,126.2
354.009,126.014,342.566,126.2
354.009,126.014,342.454,126.2
354.009,126.014,342.343,126.2
354.009,126.014,342.23,126.2
354.009,126.014,342.117,126.2
354.009,126.014,342.004,126.2
354.009,126.014,341.889,126.2
354.009,126.014,341.775,126.2
354.009,126.014,341.66,126.2
354.004,126.014,341.544,126.2
354.004,126.014,341.428,126.2
353.979,126.014,341.311,126.2
353.979,126.014,341.194,126.2
353.979,126.014,341.076,126.2
353.979,126.014,340.957,126.2
353.959,126.014,340.838,126.2
353.959,126.014,340.719,126.2
353.884,126.014,340.599,126.2
353.859,126.014,340.478,126.2
353.859,126.014,340.357,126.2
353.859,126.014,340.235,126.2
353.814,126.014,340.113,126.2
353.719,126.014,339.99,126.2
353.719,126.014,339.867,126.2
353.689,126.014,339.743,126.2
353.689,126.014,339.619,126.2
353.589,126.014,339.494,126.2
353.589,126.014,339.369,126.2
353.529,126.014,339.243,126.2
353.529,126.014,339.116,126.2
353.434,126.014,338.99,126.2
353.434,126.014,338.862,126.2
353.434,126.014,338.734,126.2
353.329,126.015,338.606,126.2
