x-position,y-position,x-target,y-target
354.12,126,354,126.2
354.12,126,354,126.2
354.12,126,354,126.2
354.12,126,354,126.2
354.12,126,354,126.2
354.12,126,354,126.2
354.12,126,354,126.2
354.12,126,354,126.2
354.12,126,354,126.201
354.12,126,354,126.201
354.12,126,354,126.201
354.12,126,354,126.201
354.12,126,354,126.202
354.12,126,354,126.202
354.12,126,354,126.203
354.12,126,354,126.203
354.12,126,354,126.204
354.12,126,354,126.205
354.12,126,354,126.206
354.12,126,354,126.207
354.12,126,354,126.208
354.12,126,354,126.209
354.12,126,354,126.21
354.12,126,354,126.212
354.12,126,354,126.213
354.12,126,354,126.215
354.12,126,354,126.217
354.12,126,354,126.219
354.12,126,354,126.221
354.12,126,354,126.223
354.12,126,354,126.226
354.12,126,354,126.228
354.12,126,354,126.231
354.12,126,354,126.234
354.12,126,354,126.237
354.12,126,354,126.241
354.12,126,354,126.244
354.12,126,354,126.248
354.12,126,354,126.252
354.12,126,354,126.256
354.12,126,354,126.26
354.12,126,354,126.265
354.12,126,354,126.269
354.12,126,354,126.274
354.12,126,354,126.28
354.12,126,354,126.285
354.12,126,354,126.291
354.12,126,354,126.297
354.12,126,354,126.303
354.12,126,354,126.309
354.12,126,354,126.316
354.12,126,354,126.323
354.12,126,354,126.33
354.12,126,354,126.337
354.12,126,354,126.345
354.12,126,354,126.353
354.12,126,354,126.361
354.12,126,354,126.37
354.12,126,354,126.379
354.12,126,354,126.388
354.12,126,354,126.397
354.12,126,354,126.407
354.12,126,354,126.417
354.12,126,354,126.427
354.12,126,354,126.438
354.12,126,354,126.449
354.12,126,354,126.46
354.12,126,354,126.471
354.12,126,354,126.483
354.12,126,354,126.495
354.12,126,354,126.508
354.12,126,354,126.521
354.12,126,354,126.534
354.12,126,354,126.548
354.12,126,354,126.562
354.12,126,354,126.576
354.12,126,354,126.59
354.12,126,354,126.605
354.12,126,354,126.621
354.12,126,354,126.636
354.12,126,354,126.653
354.12,126,354,126.669
354.12,126,354,126.686
354.12,126,354,126.703
354.12,126,354,126.721
354.12,126,354,126.738
354.12,126,354,126.757
354.12,126,354,126.776
354.12,126,354,126.795
354.12,126,354,126.814
354.12,126,354,126.834
354.12,126,354,126.854
354.12,126,354,126.875
354.12,126,354,126.896
354.12,126,354,126.918
354.12,126,354,126.94
354.12,126,354,126.962
354.12,126,354,126.985
354.12,126,354,127.008
354.12,126,354,127.032
354.12,126,354,127.056
354.12,126,354,127.081
