x-position,y-position,x-target,y-target
354.004,126.014,354,126.2
354.004,126.014,354,126.2
354.004,126.014,354,126.2
354.004,126.014,354,126.2
354.004,126.014,354,126.2
354.004,126.014,354,126.2
354.004,126.014,354,126.2
354.004,126.014,354,126.2
354.004,126.014,354,126.201
354.004,126.014,354,126.201
354.004,126.014,354,126.201
354.004,126.014,354,126.201
354.004,126.014,354,126.202
354.004,126.014,354,126.202
354.004,126.014,354,126.203
354.004,126.014,354,126.203
354.004,126.014,354,126.204
354.004,126.014,354,126.205
354.004,126.014,354,126.206
354.004,126.014,354,126.207
354.004,126.014,354,126.208
354.004,126.014,354,126.209
354.004,126.014,354,126.21
354.004,126.014,354,126.212
354.004,126.014,354,126.213
354.004,126.014,354,126.215
354.004,126.014,354,126.217
354.004,126.014,354,126.219
354.004,126.014,354,126.221
354.004,126.014,354,126.223
354.004,126.014,354,126.226
354.004,126.014,354,126.228
354.004,126.014,354,126.231
354.004,126.014,354,126.234
354.004,126.014,354,126.237
354.004,126.014,354,126.241
354.004,126.014,354,126.244
354.004,126.014,354,126.248
354.004,126.014,354,126.252
354.004,126.014,354,126.256
354.004,126.014,354,126.26
354.004,126.014,354,126.265
354.004,126.014,354,126.269
354.004,126.014,354,126.274
354.004,126.014,354,126.28
354.004,126.014,354,126.285
354.004,126.014,354,126.291
354.004,126.014,354,126.297
354.004,126.014,354,126.303
354.004,126.014,354,126.309
354.004,126.014,354,126.316
354.004,126.014,354,126.323
354.004,126.014,354,126.33
354.004,126.014,354,126.337
354.004,126.014,354,126.345
354.004,126.014,354,126.353
354.004,126.014,354,126.361
354.004,126.014,354,126.37
354.004,126.014,354,126.379
354.004,126.014,354,126.388
354.004,126.014,354,126.397
354.004,126.014,354,126.407
354.004,126.014,354,126.417
354.004,126.014,354,126.427
354.004,126.014,354,126.438
354.004,126.014,354,126.449
354.004,126.014,354,126.46
354.004,126.014,354,126.471
354.004,126.014,354,126.483
354.004,126.014,354,126.495
354.004,126.014,354,126.508
354.004,126.014,354,126.521
354.004,126.014,354,126.534
354.004,126.014,354,126.548
354.004,126.014,354,126.562
354.004,126.014,354,126.576
354.004,126.014,354,126.59
354.004,126.014,354,126.605
354.004,126.014,354,126.621
354.004,126.014,354,126.636
354.004,126.014,354,126.653
354.004,126.014,354,126.669
354.004,126.014,354,126.686
354.004,126.014,354,126.703
354.004,126.014,354,126.721
354.004,126.014,354,126.738
354.004,126.014,354,126.757
354.004,126.014,354,126.776
354.004,126.014,354,126.795
354.004,126.014,354,126.814
354.004,126.014,354,126.834
354.004,126.014,354,126.854
354.004,126.014,354,126.875
354.004,126.014,354,126.896
354.004,126.014,354,126.918
354.004,126.014,354,126.94
354.004,126.014,354,126.962
354.004,126.014,354,126.985
354.004,126.014,354,127.008
354.004,126.014,354,127.032
354.004,126.014,354,127.056
354.004,126.014,354,127.081
354.004,126.014,354,127.105
354.004,126.014,354,127.131
354.004,126.014,354,127.157
354.004,126.014,354,127.183
354.004,126.014,354,127.21
354.004,126.014,354,127.237
354.004,126.014,354,127.264
354.004,126.014,354,127.293
354.004,126.014,354,127.321
354.004,126.014,354,127.35
354.004,126.014,354,127.379
354.004,126.014,354,127.409
354.004,126.014,354,127.44
354.004,126.014,354,127.471
354.004,126.014,354,127.502
354.004,126.014,354,127.534
354.004,126.014,354,127.566
354.004,126.014,354,127.599
354.004,126.014,354,127.632
354.004,126.014,354,127.666
354.004,126.014,354,127.7
354.004,126.014,354,127.734
354.004,126.014,354,127.77
354.004,126.014,354,127.805
354.004,126.014,354,127.841
354.004,126.014,354,127.878
354.004,126.014,354,127.915
354.004,126.014,354,127.953
354.004,126.014,354,127.991
354.004,126.014,354,128.029
354.004,126.014,354,128.069
354.004,126.014,354,128.108
354.004,126.014,354,128.148
354.004,126.014,354,128.189
354.004,126.014,354,128.23
354.004,126.014,354,128.272
354.004,126.014,354,128.314
354.004,126.014,354,128.357
354.004,126.014,354,128.4
354.004,126.014,354,128.444
354.004,126.014,354,128.488
354.004,126.014,354,128.533
354.004,126.014,354,128.578
354.004,126.014,354,128.624
354.004,126.014,354,128.67
354.004,126.014,354,128.717
354.004,126.014,354,128.765
354.004,126.014,354,128.813
354.004,126.014,354,128.861
354.004,126.014,354,128.91
354.004,126.014,354,128.96
354.004,126.014,354,129.01
354.004,126.014,354,129.061
354.004,126.014,354,129.112
354.004,126.014,354,129.163
354.004,126.014,354,129.216
354.004,126.014,354,129.269
354.004,126.014,354,129.322
354.004,126.014,354,129.376
354.004,126.014,354,129.43
354.004,126.014,354,129.485
354.004,126.014,354,129.541
354.004,126.014,354,129.597
354.004,126.014,354,129.654
354.004,126.014,354,129.711
354.004,126.014,354,129.769
354.004,126.014,354,129.827
354.004,126.014,354,129.886
354.004,126.014,354,129.945
354.004,126.014,354,130.005
354.004,126.014,354,130.066
354.004,126.014,354,130.127
354.004,126.014,354,130.189
354.004,126.014,354,130.251
354.004,126.014,354,130.314
354.004,126.014,354,130.377
354.004,126.014,354,130.441
354.004,126.014,354,130.506
354.004,126.014,354,130.571
354.004,126.014,354,130.636
354.004,126.014,354,130.703
354.004,126.014,354,130.769
354.004,126.014,354,130.837
354.004,126.014,354,130.905
354.004,126.014,354,130.973
354.004,126.014,354,131.042
354.004,126.014,354,131.112
354.004,126.014,354,131.182
354.004,126.014,354,131.253
354.004,126.014,354,131.324
354.004,126.014,354,131.396
354.004,126.014,354,131.468
354.004,126.014,354,131.542
354.004,126.014,354,131.615
354.004,126.014,354,131.689
354.004,126.014,354,131.764
354.004,126.014,354,131.84
354.004,126.014,354,131.915
354.004,126.014,354,131.992
354.004,126.014,354,132.069
354.004,126.014,354,132.147
354.004,126.014,354,132.225
354.004,126.014,354,132.304
354.004,126.014,354,132.383
354.004,126.014,354,132.463
354.004,126.014,354,132.544
354.004,126.014,354,132.625
354.004,126.014,354,132.707
354.004,126.014,354,132.789
354.004,126.014,354,132.872
354.004,126.014,354,132.955
354.004,126.014,354,133.039
354.004,126.014,354,133.124
354.004,126.014,354,133.209
354.004,126.014,354,133.295
354.004,126.014,354,133.381
354.004,126.014,354,133.468
354.004,126.014,354,133.555
354.004,126.014,354,133.643
354.004,126.014,354,133.732
354.004,126.014,354,133.821
354.004,126.014,354,133.911
354.004,126.014,354,134.001
354.004,126.014,354,134.092
354.004,126.014,354,134.184
354.004,126.014,354,134.276
354.004,126.014,354,134.369
354.004,126.014,354,134.462
354.004,126.014,354,134.556
354.004,126.014,354,134.65
354.004,126.014,354,134.745
354.004,126.014,354,134.84
354.007,126.027,354,134.937
354.007,126.027,354,135.033
354.007,126.027,354,135.13
354.007,126.027,354,135.228
354.007,126.027,354,135.327
354.007,126.027,354,135.426
354.007,126.027,354,135.525
354.007,126.027,354,135.625
354.007,126.027,354,135.726
354.007,126.027,354,135.827
354.007,126.027,354,135.929
353.994,126.176,354,136.031
353.994,126.176,354,136.134
353.99,126.272,354,136.238
353.99,126.272,354,136.342
353.991,126.529,354,136.446
353.991,126.529,354,136.552
353.991,126.529,354,136.657
353.991,126.529,354,136.764
353.991,126.529,354,136.87
353.991,126.529,354,136.978
353.991,126.529,354,137.086
353.989,126.652,354,137.194
353.989,126.652,354,137.304
353.995,126.747,354,137.413
353.999,126.842,354,137.523
353.989,126.896,354,137.634
353.989,126.896,354,137.746
353.989,126.896,354,137.857
353.958,127.208,354,137.97
353.958,127.208,354,138.083
353.958,127.208,354,138.196
353.958,127.208,354,138.311
353.958,127.208,354,138.425
353.958,127.208,354,138.54
353.958,127.208,354,138.656
353.736,128.009,354,138.772
353.736,128.009,354,138.889
353.736,128.009,354,139.006
353.736,128.009,354,139.124
353.682,128.172,354,139.243
353.626,128.362,354,139.362
353.57,128.553,354,139.481
353.57,128.553,354,139.601
353.57,128.553,354,139.722
353.57,128.553,354,139.843
353.488,128.838,354,139.965
353.488,128.838,354,140.087
353.488,128.838,354,140.21
353.452,128.974,354,140.333
353.452,128.974,354,140.457
353.452,128.974,354,140.581
353.385,129.205,354,140.706
353.385,129.205,354,140.831
353.385,129.205,354,140.957
353.195,129.843,354,141.084
353.195,129.843,354,141.21
353.195,129.843,354,141.338
353.136,130.047,354,141.466
353.136,130.047,354,141.594
353.136,130.047,354,141.723
352.876,130.999,354,141.853
352.876,130.999,354,141.983
352.876,130.999,354,142.113
352.651,131.787,354,142.244
352.651,131.787,354,142.376
352.651,131.787,354,142.508
352.651,131.787,354,142.641
352.541,132.155,354,142.774
352.541,132.155,354,142.907
352.541,132.155,354,143.041
352.541,132.155,354,143.176
352.541,132.155,354,143.311
352.541,132.155,354,143.446
352.541,132.155,354,143.582
352.082,133.692,354,143.719
352.082,133.692,354,143.856
352.082,133.692,354,143.993
351.948,134.182,354,144.131
351.68,135.053,354,144.27
351.68,135.053,354,144.409
351.68,135.053,354,144.548
351.68,135.053,354,144.688
351.534,135.598,354,144.829
351.429,136.102,354,144.969
351.429,136.102,354,145.111
351.299,136.592,354,145.253
351.299,136.592,354,145.395
351.299,136.592,354,145.538
351.174,137.041,354,145.681
350.989,137.845,354,145.825
350.989,137.845,354,145.969
350.989,137.845,354,146.113
350.762,138.663,354,146.258
350.671,139.044,354,146.404
350.671,139.044,354,146.55
350.671,139.044,354,146.696
350.343,140.475,354,146.843
350.343,140.475,354,146.991
350.205,141.495,354,147.138
350.205,141.495,354,147.287
350.205,141.495,354,147.435
350.205,141.495,354,147.584
350.205,141.495,354,147.734
350.205,141.495,354,147.884
350.104,143.194,354,148.034
350.104,143.194,354,148.185
350.104,143.194,354,148.336
350.104,143.194,354,148.488
350.104,143.194,354,148.64
350.104,143.194,354,148.793
350.104,143.194,354,148.946
350.104,143.194,354,149.099
350.104,144.201,354,149.253
350.104,144.201,354,149.407
350.104,144.201,354,149.562
350.104,144.201,354,149.717
350.104,144.201,354,149.872
350.104,144.201,354,150.028
350.104,144.201,354,150.185
350.104,144.201,354,150.341
350.104,144.166,354,150.498
350.104,144.166,354,150.656
350.104,144.107,354,150.814
350.104,144.107,354,150.972
350.104,144.107,354,151.131
350.104,144.107,354,151.29
350.104,144.089,354,151.449
350.104,144.089,354,151.609
350.104,144.089,354,151.769
350.104,144.072,354,151.93
350.104,144.072,354,152.091
350.104,144.072,354,152.252
350.104,144.07,354,152.414
350.104,144.07,354,152.576
350.104,144.07,354,152.738
350.104,144.07,354,152.901
350.104,144.108,354,153.064
350.104,144.108,354,153.228
350.104,144.134,354,153.392
350.104,144.134,354,153.556
