x-position,y-position,x-target,y-target
354,126.2,354,126.2
354.0000596,126.2003811,354,126.200001
354.0003334,126.2014464,354,126.200008
354.0008572,126.2030924,354,126.2000269
354.0016403,126.2052328,354,126.2000636
354.0026806,126.2077987,354,126.2001241
354.0039691,126.2107347,354,126.2002141
354.0054929,126.2139961,354,126.2003394
354.0072376,126.2175463,354,126.2005059
354.0091876,126.2213548,354,126.2007192
354.0113277,126.2253954,354,126.2009851
354.013643,126.2296457,354,126.2013091
354.0161195,126.234086,354,126.201697
354.018744,126.238699,354,126.2021544
354.0215041,126.2434692,354,126.2026867
354.0243885,126.2483828,354,126.2032995
354.0273867,126.2534274,354,126.2039983
354.030489,126.2585915,354,126.2047886
354.0336866,126.263865,354,126.2056757
354.0369714,126.2692386,354,126.206665
354.0403361,126.2747038,354,126.2077619
354.0437738,126.2802528,354,126.2089717
354.0472784,126.2858786,354,126.2102997
354.0508441,126.2915747,354,126.2117511
354.0544658,126.2973353,354,126.2133311
354.0581388,126.3031549,354,126.2150449
354.0618586,126.3090286,354,126.2168977
354.0656214,126.3149518,354,126.2188944
354.0694235,126.3209204,354,126.2210403
354.0732616,126.3269305,354,126.2233404
354.0771326,126.3329788,354,126.2257996
354.0810337,126.339062,354,126.2284229
354.0849624,126.3451771,354,126.2312153
354.0889163,126.3513216,354,126.2341816
354.0928933,126.3574928,354,126.2373268
354.0968914,126.3636886,354,126.2406556
354.1009088,126.3699069,354,126.2441729
354.1049438,126.3761457,354,126.2478834
354.108995,126.3824033,354,126.2517918
354.1130609,126.3886782,354,126.255903
354.1171403,126.3949688,354,126.2602214
354.121232,126.4012738,354,126.2647519
354.1253349,126.4075919,354,126.2694989
354.129448,126.4139221,354,126.274467
354.1335705,126.4202632,354,126.2796608
354.1377014,126.4266143,354,126.2850848
354.1418401,126.4329745,354,126.2907434
354.1459858,126.439343,354,126.2966411
354.1501379,126.4457191,354,126.3027823
354.1542958,126.4521021,354,126.3091713
354.1584589,126.4584913,354,126.3158125
354.1626268,126.4648862,354,126.3227102
354.166799,126.4712863,354,126.3298687
354.1709751,126.477691,354,126.3372922
354.1751547,126.4841,354,126.3449849
354.1793375,126.4905127,354,126.352951
354.183523,126.4969289,354,126.3611947
354.1877111,126.5033481,354,126.36972
354.1919015,126.5097702,354,126.3785311
354.1960938,126.5161947,354,126.3876319
354.2002879,126.5226214,354,126.3970266
354.2044836,126.5290501,354,126.406719
354.2086807,126.5354805,354,126.4167132
354.2128789,126.5419124,354,126.427013
354.2170781,126.5483457,354,126.4376224
354.2212783,126.5547802,354,126.4485452
354.2254791,126.5612156,354,126.4597853
354.2296806,126.5676519,354,126.4713464
354.2338825,126.574089,354,126.4832323
354.2380848,126.5805266,354,126.4954467
354.2422874,126.5869647,354,126.5079934
354.2464902,126.5934032,354,126.520876
354.2506932,126.599842,354,126.5340982
354.2548961,126.6062809,354,126.5476635
354.259099,126.61272,354,126.5615755
354.2633018,126.6191591,354,126.5758379
354.2675045,126.6255982,354,126.5904541
354.2717069,126.6320371,354,126.6054275
354.2759091,126.6384759,354,126.6207617
354.280111,126.6449146,354,126.6364601
354.2843125,126.6513529,354,126.6525261
354.2885136,126.657791,354,126.668963
354.2927143,126.6642287,354,126.6857742
354.2969146,126.670666,354,126.7029629
354.3011143,126.6771029,354,126.7205326
354.3053136,126.6835394,354,126.7384863
354.3095123,126.6899754,354,126.7568273
354.3137104,126.6964109,354,126.7755589
354.317908,126.7028458,354,126.7946841
354.3221049,126.7092802,354,126.8142061
354.3263013,126.7157141,354,126.8341279
354.330497,126.7221473,354,126.8544528
354.334692,126.72858,354,126.8751835
354.3388864,126.735012,354,126.8963233
354.3430801,126.7414434,354,126.9178751
354.3472731,126.7478741,354,126.9398417
354.3514654,126.7543042,354,126.9622263
354.355657,126.7607336,354,126.9850315
